epoch 324, seq 500/500, tr loss 0.038781 te loss 0.040265 lr: 0.000724 
epoch 326, seq 500/500, tr loss 0.038583 te loss 0.040074 lr: 0.000722 
epoch 328, seq 500/500, tr loss 0.038387 te loss 0.039883 lr: 0.000721 
epoch 330, seq 500/500, tr loss 0.038193 te loss 0.039693 lr: 0.000720 
epoch 332, seq 500/500, tr loss 0.038002 te loss 0.039503 lr: 0.000718 
epoch 334, seq 500/500, tr loss 0.037814 te loss 0.039314 lr: 0.000717 
epoch 336, seq 500/500, tr loss 0.037629 te loss 0.039127 lr: 0.000715 
epoch 338, seq 500/500, tr loss 0.037446 te loss 0.038942 lr: 0.000714 
epoch 340, seq 500/500, tr loss 0.037267 te loss 0.038759 lr: 0.000712 
epoch 342, seq 500/500, tr loss 0.037090 te loss 0.038578 lr: 0.000711 
epoch 344, seq 500/500, tr loss 0.036917 te loss 0.038401 lr: 0.000710 
epoch 346, seq 500/500, tr loss 0.036747 te loss 0.038226 lr: 0.000708 
epoch 348, seq 500/500, tr loss 0.036580 te loss 0.038055 lr: 0.000707 
epoch 350, seq 500/500, tr loss 0.036416 te loss 0.037886 lr: 0.000705 
epoch 352, seq 500/500, tr loss 0.036255 te loss 0.037722 lr: 0.000704 
epoch 354, seq 500/500, tr loss 0.036098 te loss 0.037560 lr: 0.000702 
epoch 356, seq 500/500, tr loss 0.035944 te loss 0.037403 lr: 0.000701 
epoch 358, seq 500/500, tr loss 0.035793 te loss 0.037249 lr: 0.000700 
epoch 360, seq 500/500, tr loss 0.035646 te loss 0.037098 lr: 0.000698 
epoch 362, seq 500/500, tr loss 0.035502 te loss 0.036952 lr: 0.000697 
epoch 364, seq 500/500, tr loss 0.035361 te loss 0.036809 lr: 0.000695 
epoch 366, seq 500/500, tr loss 0.035224 te loss 0.036670 lr: 0.000694 
epoch 368, seq 500/500, tr loss 0.035090 te loss 0.036534 lr: 0.000693 
epoch 370, seq 500/500, tr loss 0.034960 te loss 0.036403 lr: 0.000691 
epoch 372, seq 500/500, tr loss 0.034833 te loss 0.036275 lr: 0.000690 
epoch 374, seq 500/500, tr loss 0.034710 te loss 0.036151 lr: 0.000689 
epoch 376, seq 500/500, tr loss 0.034590 te loss 0.036031 lr: 0.000687 
epoch 378, seq 500/500, tr loss 0.034473 te loss 0.035915 lr: 0.000686 
epoch 380, seq 500/500, tr loss 0.034360 te loss 0.035802 lr: 0.000684 
epoch 382, seq 500/500, tr loss 0.034250 te loss 0.035693 lr: 0.000683 
epoch 384, seq 500/500, tr loss 0.034144 te loss 0.035588 lr: 0.000682 
epoch 386, seq 500/500, tr loss 0.034040 te loss 0.035486 lr: 0.000680 
epoch 388, seq 500/500, tr loss 0.033940 te loss 0.035387 lr: 0.000679 
epoch 390, seq 500/500, tr loss 0.033843 te loss 0.035292 lr: 0.000678 
epoch 392, seq 500/500, tr loss 0.033748 te loss 0.035201 lr: 0.000676 
epoch 394, seq 500/500, tr loss 0.033657 te loss 0.035112 lr: 0.000675 
epoch 396, seq 500/500, tr loss 0.033568 te loss 0.035027 lr: 0.000674 
epoch 398, seq 500/500, tr loss 0.033482 te loss 0.034944 lr: 0.000672 
epoch 400, seq 500/500, tr loss 0.033398 te loss 0.034865 lr: 0.000671 
epoch 402, seq 500/500, tr loss 0.033317 te loss 0.034788 lr: 0.000670 
epoch 404, seq 500/500, tr loss 0.033239 te loss 0.034714 lr: 0.000668 
epoch 406, seq 500/500, tr loss 0.033162 te loss 0.034642 lr: 0.000667 
epoch 408, seq 500/500, tr loss 0.033088 te loss 0.034573 lr: 0.000666 
epoch 410, seq 500/500, tr loss 0.033015 te loss 0.034506 lr: 0.000664 
epoch 412, seq 500/500, tr loss 0.032945 te loss 0.034442 lr: 0.000663 
epoch 414, seq 500/500, tr loss 0.032876 te loss 0.034380 lr: 0.000662 
epoch 416, seq 500/500, tr loss 0.032810 te loss 0.034319 lr: 0.000660 
epoch 418, seq 500/500, tr loss 0.032745 te loss 0.034261 lr: 0.000659 
epoch 420, seq 500/500, tr loss 0.032681 te loss 0.034205 lr: 0.000658 
epoch 422, seq 500/500, tr loss 0.032619 te loss 0.034150 lr: 0.000656 
epoch 424, seq 500/500, tr loss 0.032559 te loss 0.034097 lr: 0.000655 
epoch 426, seq 500/500, tr loss 0.032500 te loss 0.034046 lr: 0.000654 
epoch 428, seq 500/500, tr loss 0.032442 te loss 0.033996 lr: 0.000652 
epoch 430, seq 500/500, tr loss 0.032386 te loss 0.033947 lr: 0.000651 
epoch 432, seq 500/500, tr loss 0.032331 te loss 0.033900 lr: 0.000650 
epoch 434, seq 500/500, tr loss 0.032277 te loss 0.033855 lr: 0.000648 
epoch 436, seq 500/500, tr loss 0.032224 te loss 0.033810 lr: 0.000647 
epoch 438, seq 500/500, tr loss 0.032173 te loss 0.033767 lr: 0.000646 
epoch 440, seq 500/500, tr loss 0.032122 te loss 0.033725 lr: 0.000645 
epoch 442, seq 500/500, tr loss 0.032073 te loss 0.033684 lr: 0.000643 
epoch 444, seq 500/500, tr loss 0.032024 te loss 0.033644 lr: 0.000642 
epoch 446, seq 500/500, tr loss 0.031976 te loss 0.033605 lr: 0.000641 
epoch 448, seq 500/500, tr loss 0.031929 te loss 0.033567 lr: 0.000639 
epoch 450, seq 500/500, tr loss 0.031883 te loss 0.033530 lr: 0.000638 
epoch 452, seq 500/500, tr loss 0.031838 te loss 0.033494 lr: 0.000637 
epoch 454, seq 500/500, tr loss 0.031794 te loss 0.033459 lr: 0.000636 
